Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
183Pt;78;105;b+;;;6.5 min;1/2-;
184Pt;78;106;b+;;;17.3 min;0+;
185Pt;78;107;b+;;;70.9 min;9/2+;
186Pt;78;108;b+;;;2.08 h;0+;
187Pt;78;109;b+;;;2.35 h;3/2-;
188Pt;78;110;EC;;;10.16 d;0+;
189Pt;78;111;b+;;;10.87 h;3/2-;
190Pt;78;112;a;;;4.83E+11 y;0+;0.01
191Pt;78;113;EC;;;2.83 d;3/2-;
192Pt;78;114;stable;;;stable;0+;0.78
193Pt;78;115;EC;;;50 y;1/2-;
194Pt;78;116;stable;;;stable;0+;32.87
195Pt;78;117;stable;;;stable;1/2-;33.78
196Pt;78;118;stable;;;stable;0+;25.22
197Pt;78;119;b-;;;19.8915 h;1/2-;
198Pt;78;120;stable;;;stable;0+;7.34
199Pt;78;121;b-;;;30.8 min;5/2-;
200Pt;78;122;b-;;;12.6 h;0+;
201Pt;78;123;b-;;;2.5 min;(5/2-);
202Pt;78;124;b-;;;44 h;0+;
203Pt;78;125;b-;;;22 s;(1/2-);
204Pt;78;126;b-;;;10.3 s;0+;
205Pt;78;127;b-;;;2 s;9/2+;
206Pt;78;128;b-;;;500 ms;0+;
207Pt;78;129;b-;;;600 ms;9/2+;
208Pt;78;130;b-;;;220 ms;0+;
169Au;79;90;p: 94.0%;a: 6.0%;;1.16 μs;(11/2-);
170Au;79;91;p: 89.0%;a: 11.0%;;286 μs;(2)-;
171Au;79;92;p;;;22 μs;(9)+;
172Au;79;93;a: 98.0%;p: 2.0%;;28 ms;(2)-;
173Au;79;94;a: 86.0%;b+: 14.0%;;25.5 ms;(1/2+);
174Au;79;95;a: 90.0%;b+: 10.0%;;139 ms;(3-);
175Au;79;96;a: 88.0%;b+: 12.0%;;200 ms;1/2+;
176Au;79;97;a: 75.0%;b+: 25.0%;;1.05 s;(3-,4-);
177Au;79;98;b+: 60.0%;a: 40.0%;;1.501 s;1/2+;
178Au;79;99;b+: 84.0%;a: 16.0%;;3.4 s;(2+,3-);
179Au;79;100;b+: 78.0%;a: 22.0%;;7.1 s;1/2+;
180Au;79;101;b+: 99.4%;a: 0.6%;;7.9 s;(1+);
181Au;79;102;b+: 97.3%;a: 2.7%;;13.7 s;(5/2-);
182Au;79;103;b+: 99.9%;a: 0.1%;;15.5 s;(2+);
183Au;79;104;b+: 99.5%;a: 0.6%;;42.8 s;5/2-;
184Au;79;105;b+: 99.99%;a: 0.01%;;20.6 s;5+;
185Au;79;106;b+: 99.7%;a: 0.3%;;4.25 min;5/2-;
186Au;79;107;b+;;;10.7 min;3-;
187Au;79;108;b+;;;8.3 min;1/2+;
188Au;79;109;b+;;;8.84 min;1-;
189Au;79;110;b+;;;28.7 min;1/2+;
190Au;79;111;b+;;;42.8 min;1-;
191Au;79;112;b+;;;3.18 h;3/2+;
192Au;79;113;b+;;;4.94 h;1-;
193Au;79;114;b+;;;17.65 h;3/2+;
194Au;79;115;b+;;;38.02 h;1-;
195Au;79;116;EC;;;186.01 d;3/2+;
196Au;79;117;b+: 93.0%;b-: 7.0%;;6.165 d;2-;
197Au;79;118;stable;;;stable;3/2+;100
198Au;79;119;b-;;;2.69464 d;2-;
199Au;79;120;b-;;;3.139 d;3/2+;
200Au;79;121;b-;;;48.4 min;(1-);
201Au;79;122;b-;;;26 min;3/2+;
202Au;79;123;b-;;;28.4 s;(1-);
203Au;79;124;b-;;;60 s;3/2+;
204Au;79;125;b-;;;38.3 s;(2-);
205Au;79;126;b-;;;32 s;3/2+;
206Au;79;127;b-;;;47 s;6+;
207Au;79;128;b-;;;3 s;3/2+;
208Au;79;129;b-;;;20 s;6+;
209Au;79;130;b-;;;1 s;3/2+;
210Au;79;131;b-;;;10 s;6+;
170Hg;80;90;a;;;310 μs;0+;
171Hg;80;91;a;;;70 μs;3/2-;
172Hg;80;92;a;;;231 μs;0+;
173Hg;80;93;a;;;800 μs;(7/2-);
174Hg;80;94;a;;;2 ms;0+;
175Hg;80;95;a;;;10.2 ms;(7/2-);
176Hg;80;96;a: 90.0%;b+: 10.0%;;20.3 ms;0+;
177Hg;80;97;a;;;117 ms;7/2-;
178Hg;80;98;a: 89.0%;b+: 11.0%;;266.5 ms;0+;
179Hg;80;99;a: 75.0%;b+: 25.0%;;1.05 s;7/2-;
180Hg;80;100;b+: 52.0%;a: 48.0%;;2.59 s;0+;
181Hg;80;101;b+: 73.0%;a: 27.0%;;3.6 s;1/2-;
182Hg;80;102;b+: 86.2%;a: 13.8%;;10.83 s;0+;
183Hg;80;103;b+: 88.3%;a: 11.7%;;9.4 s;1/2-;
184Hg;80;104;b+: 98.9%;a: 1.1%;;30.87 s;0+;
185Hg;80;105;b+: 94.0%;a: 6.0%;;49.1 s;1/2-;
186Hg;80;106;b+: 99.98%;a: 0.02%;;1.38 min;0+;
187Hg;80;107;b+;;;1.9 min;3/2-;
188Hg;80;108;b+;;;3.25 min;0+;
189Hg;80;109;b+;;;7.6 min;3/2-;
190Hg;80;110;b+;;;20 min;0+;
191Hg;80;111;b+;;;49 min;3/2-;
192Hg;80;112;EC;;;4.85 h;0+;
193Hg;80;113;b+;;;3.8 h;3/2-;
194Hg;80;114;EC;;;447 y;0+;
195Hg;80;115;b+;;;10.69 h;1/2-;
196Hg;80;116;stable;;;stable;0+;0.15
197Hg;80;117;EC;;;64.93 h;1/2-;
198Hg;80;118;stable;;;stable;0+;10.04
199Hg;80;119;stable;;;stable;1/2-;16.94
200Hg;80;120;stable;;;stable;0+;23.14
201Hg;80;121;stable;;;stable;3/2-;13.17
202Hg;80;122;stable;;;stable;0+;29.73
203Hg;80;123;b-;;;46.61 d;5/2-;
204Hg;80;124;stable;;;stable;0+;6.82
205Hg;80;125;b-;;;5.14 min;1/2-;
206Hg;80;126;b-;;;8.32 min;0+;
207Hg;80;127;b-;;;2.9 min;9/2+;
208Hg;80;128;b-;;;135 s;0+;
209Hg;80;129;b-;;;6.3 s;9/2+;
210Hg;80;130;b-;;;64 s;0+;
211Hg;80;131;b-;;;26.4 s;9/2+;
212Hg;80;132;b-;;;30 s;0+;
213Hg;80;133;b-;;;15 s;9/2+;
214Hg;80;134;b-;;;8 s;0+;
215Hg;80;135;b-;;;600 ms;9/2+;
216Hg;80;136;b-;;;2 s;0+;
176Tl;81;95;p: 50.0%;a: 50.0%;;2.4 ms;;
177Tl;81;96;a: 73.0%;p: 27.0%;;18 ms;;
178Tl;81;97;a: 61.9%;b+: 38.1%;;255 ms;;
179Tl;81;98;a: 60.0%;b+: 40.0%;;437 ms;;
180Tl;81;99;b+: 93.0%;a: 7.0%;;1.09 s;;
181Tl;81;100;b+: 91.4%;a: 8.6%;;2.9 s;(1/2+);
182Tl;81;101;b+: 99.5%;a: 0.5%;;1.9 s;(7+);
183Tl;81;102;b+;a;;6.9 s;(1/2+);
184Tl;81;103;b+: 98.8%;a: 1.2%;;9.5 s;;
185Tl;81;104;b+;;;19.5 s;(1/2+);
186Tl;81;105;b+;;;3.5 s;(7+);
187Tl;81;106;b+;;;51 s;(1/2+);
188Tl;81;107;b+;;;71 s;(2-);
189Tl;81;108;b+;;;2.3 min;(1/2+);
190Tl;81;109;b+;;;2.6 min;(2)-;
191Tl;81;110;b+;;;20 min;(1/2+);
192Tl;81;111;b+;;;9.6 m;(2-);
193Tl;81;112;b+;;;21.6 m;1/2+;
194Tl;81;113;b+;;;33.0 m;2-;
195Tl;81;114;b+;;;1.16 h;1/2+;
196Tl;81;115;b+;;;1.84 h;2-;
197Tl;81;116;b+;;;2.84 h;1/2+;
198Tl;81;117;b+;;;5.3 h;2-;
199Tl;81;118;b+;;;7.42 h;1/2+;
200Tl;81;119;b+;;;26.1 h;2-;
201Tl;81;120;EC;;;72.912 h;1/2+;
202Tl;81;121;EC;;;12.23 d;2-;
203Tl;81;122;stable;;;stable;1/2+;29.52
204Tl;81;123;b-: 97.1%;EC: 2.9%;;3.78 y;2-;
205Tl;81;124;stable;;;stable;1/2+;70.48
206Tl;81;125;b-;;;4.202 m;0-;
207Tl;81;126;b-;;;4.77 m;1/2+;
208Tl;81;127;b-;;;3.053 m;5(+);
209Tl;81;128;b-;;;2.162 m;(1/2+);
210Tl;81;129;b-;;;1.30 m;(5+);
211Tl;81;130;b-;;;81 s;1/2+;
212Tl;81;131;b-;;;31 s;(5+);
213Tl;81;132;b-;;;23.8 s;1/2+;
214Tl;81;133;b-;;;11.0 s;5+;
215Tl;81;134;b-;;;9.7 s;1/2+;
216Tl;81;135;b-;;;5.9 s;5+;
217Tl;81;136;b-;;;> 300 ns;1/2+;
218Tl;81;137;b-;;;;;
178Pb;82;96;a;;;250 μs;0+;
179Pb;82;97;a;;;2.7 ms;(9/2-);
180Pb;82;98;a;;;4.1 ms;0+;
181Pb;82;99;a;;;39 ms;(9/2-);
182Pb;82;100;a;;;55 ms;0+;
183Pb;82;101;a;;;535 ms;3/2-;
184Pb;82;102;a: 80.0%;b+: 20.0%;;490 ms;0+;
185Pb;82;103;b+: 66.0%;a: 34.0%;;6.3 s;3/2-;
186Pb;82;104;b+: 60.0%;a: 40.0%;;4.82 s;0+;
187Pb;82;105;b+: 90.5%;a: 9.5%;;15.2 s;3/2-;
188Pb;82;106;b+: 91.5%;a: 8.5%;;25.1 s;0+;
189Pb;82;107;b+: 99.6%;a: 0.4%;;39 s;3/2-;
190Pb;82;108;b+: 99.6%;a: 0.4%;;71 s;0+;
191Pb;82;109;b+: 99.5%;a: 0.5%;;1.33 min;3/2-;
192Pb;82;110;b+: 99.99%;a: 0.01%;;3.5 min;0+;
193Pb;82;111;b+;;;4 min;3/2-;
194Pb;82;112;b+;;;10.7 min;0+;
195Pb;82;113;b+;;;15 min;3/2-;
196Pb;82;114;b+;;;37 min;0+;
197Pb;82;115;b+;;;8.1 min;3/2-;
198Pb;82;116;b+;;;2.4 h;0+;
199Pb;82;117;b+;;;90 min;3/2-;
200Pb;82;118;EC;;;21.5 h;0+;
201Pb;82;119;b+;;;9.33 h;5/2-;
202Pb;82;120;EC;;;5.25E+4 y;0+;
203Pb;82;121;EC;;;51.924 h;5/2-;
204Pb;82;122;stable;;;stable;0+;1.40
205Pb;82;123;EC;;;1.7E+7 y;5/2-;
206Pb;82;124;stable;;;stable;0+;24.10
207Pb;82;125;stable;;;stable;1/2-;22.10
208Pb;82;126;stable;;;stable;0+;52.40
209Pb;82;127;b-;;;3.235 h;9/2+;
210Pb;82;128;b-;;;22.2 y;0+;
211Pb;82;129;b-;;;36.1628 min;9/2+;
212Pb;82;130;b-;;;10.627 h;0+;
213Pb;82;131;b-;;;10.2 min;(9/2+);
214Pb;82;132;b-;;;27.06 min;0+;
215Pb;82;133;b-;;;142 s;9/2+;
216Pb;82;134;b-;;;1.66 min;0+;
217Pb;82;135;b-;;;19.9 s;9/2+;
218Pb;82;136;b-;;;14.8 s;0+;
219Pb;82;137;b-;;;3 s;11/2+;
220Pb;82;138;b-;;;1 s;0+;
184Bi;83;101;a;;;6.6 ms;3+;
185Bi;83;102;p: 92.0%;a: 8.0%;;2.8 μs;(1/2+);
186Bi;83;103;a;;;14.8 ms;(3+);
187Bi;83;104;a;;;37 ms;(9/2-);
188Bi;83;105;a;;;60 ms;(3+);
189Bi;83;106;a;;;688 ms;9/2-;
190Bi;83;107;a: 77.0%;b+: 23.0%;b+: 6.0%;6.3 s;(3+);
191Bi;83;108;a: 51.0%;b+: 49.0%;;12.4 s;9/2-;
192Bi;83;109;b+: 88.0%;a: 12.0%;;34.6 s;(3+);
193Bi;83;110;b+: 96.5%;a: 3.5%;;63.6 s;9/2-;
194Bi;83;111;b+: 99.5%;a: 0.5%;;95 s;3+;
195Bi;83;112;b+: 99.97%;a: 0.03%;;183 s;9/2-;
196Bi;83;113;b+;;;5.13 min;(3+);
197Bi;83;114;b+;;;9.33 min;9/2-;
198Bi;83;115;b+;;;10.3 min;3+;
199Bi;83;116;b+;;;27 min;9/2-;
200Bi;83;117;b+;;;36.4 min;7+;
201Bi;83;118;b+;;;103 min;9/2-;
202Bi;83;119;b+;;;1.72 h;5+;
203Bi;83;120;b+;;;11.76 h;9/2-;
204Bi;83;121;b+;;;11.22 h;6+;
205Bi;83;122;b+;;;14.91 d;9/2-;
206Bi;83;123;b+;;;6.243 d;6+;
207Bi;83;124;b+;;;31.22 y;9/2-;
208Bi;83;125;b+;;;3.68E+5 y;5+;
209Bi;83;126;a;;;2.01E+19 y;9/2-;100
210Bi;83;127;b-;;;5.012 d;1-;
211Bi;83;128;a: 99.7%;b-: 0.3%;;2.14 min;9/2-;
212Bi;83;129;b-: 64.0%;a: 35.9%;;60.55 min;1-;
213Bi;83;130;b-: 97.9%;a: 2.1%;;45.6 min;9/2-;
214Bi;83;131;b-: 99.98%;a: 0.02%;;19.9 min;1-;
215Bi;83;132;b-;;;7.62 min;(9/2-);
216Bi;83;133;b-;;;2.21 min;(6-, 7-);
217Bi;83;134;b-;;;98.5 s;9/2-;
218Bi;83;135;b-;;;33 s;8-;
219Bi;83;136;b-;;;8.7 s;9/2-;
220Bi;83;137;b-;;;9.5 s;1-;
221Bi;83;138;b-;;;2 s;9/2-;
222Bi;83;139;b-;;;3 s;1-;
223Bi;83;140;b-;;;1 s;9/2-;
224Bi;83;141;b-;;;1 s;1-;
186Po;84;102;a;;;28 μs;0+;
187Po;84;103;a;;;1.4 ms;1/2-, 5/2-;
188Po;84;104;a;;;270 μs;0+;
189Po;84;105;a;;;3.5 ms;(5/2-);
190Po;84;106;a;;;2.45 ms;0+;
191Po;84;107;a;;;22 ms;3/2-;
192Po;84;108;a;;;32.2 ms;0+;
193Po;84;109;a;;;399 ms;3/2-;
194Po;84;110;a;;;392 ms;0+;
195Po;84;111;a: 94.0%;b+: 6.0%;;4.64 s;3/2-;
196Po;84;112;a: 94.0%;b+: 6.0%;;5.63 s;0+;
197Po;84;113;b+: 56.0%;a: 44.0%;;53.6 s;(3/2-);
198Po;84;114;a: 57.0%;b+: 43.0%;;1.76 min;0+;
199Po;84;115;b+: 92.5%;a: 7.5%;;5.47 min;3/2-;
200Po;84;116;b+: 88.9%;a: 11.1%;;11.51 min;0+;
201Po;84;117;b+: 98.9%;a: 1.1%;;15.6 min;3/2-;
202Po;84;118;b+: 98.1%;a: 1.9%;;44.6 min;0+;
203Po;84;119;b+: 99.9%;a: 0.1%;;36.7 min;5/2-;
204Po;84;120;b+: 99.3%;a: 0.7%;;3.519 h;0+;
205Po;84;121;b+: 99.96%;a: 0.04%;;1.74 h;5/2-;
206Po;84;122;b+: 94.5%;a: 5.5%;;8.8 d;0+;
207Po;84;123;b+: 99.98%;a: 0.02%;;5.8 h;5/2-;
208Po;84;124;a;;;2.898 y;0+;
209Po;84;125;a: 99.5%;b+: 0.5%;;124 y;1/2-;
210Po;84;126;a;;;138.376 d;0+;
211Po;84;127;a;;;516 ms;9/2+;
212Po;84;128;a;;;294.4 ns;0+;
213Po;84;129;a;;;3.705 μs;9/2+;
214Po;84;130;a;;;163.47 μs;0+;
215Po;84;131;a;;;1.781 ms;9/2+;
216Po;84;132;a;;;144 ms;0+;
217Po;84;133;a: 97.5%;b-: 2.5%;;1.53 s;(9/2+);
218Po;84;134;a: 99.98%;b-: 0.02%;;3.097 min;0+;
219Po;84;135;b-: 71.8%;a: 28.2%;;10.3 min;9/2+;
220Po;84;136;b-;;;10 s;0+;
221Po;84;137;b-;;;2.2 min;9/2+;
222Po;84;138;b-;;;9.1 min;0+;
223Po;84;139;b-;;;6 s;11/2+;
224Po;84;140;b-;;;3 min;0+;
225Po;84;141;b-;;;10 s;3/2+;
226Po;84;142;b-;;;1 min;0+;
227Po;84;143;b-;;;2 s;5/2+;
188At;85;103;a: 50.0%;p: 50.0%;;190 μs;;
190At;85;105;a;;;1 ms;(10-);
191At;85;106;a;;;2.1 ms;1/2+;
192At;85;107;a;;;11.5 ms;3+;
193At;85;108;a;;;29 ms;1/2+;
194At;85;109;a: 91.7%;b+: 8.3%;;286 ms;(5-);
195At;85;110;a;b+;;290 ms;1/2+;
196At;85;111;a: 97.5%;b+: 2.5%;;377 ms;(3+);
197At;85;112;a: 96.1%;b+: 3.9%;;388.2 ms;9/2-;
198At;85;113;a: 97.0%;b+: 3.0%;;4.47 s;3+;
199At;85;114;a: 89.0%;b+: 11.0%;;7.02 s;9/2-;
200At;85;115;a: 52.0%;b+: 48.0%;;43.2 s;(3+);
201At;85;116;a: 71.0%;b+: 29.0%;;85.2 s;9/2-;
202At;85;117;b+: 88.0%;a: 12.0%;;184 s;3+;
203At;85;118;b+: 69.0%;a: 31.0%;;7.4 min;9/2-;
204At;85;119;b+: 96.2%;a: 3.8%;;9.12 min;7+;
205At;85;120;b+: 90.0%;a: 10.0%;;26.9 min;9/2-;
206At;85;121;b+: 99.1%;a: 0.9%;;30.6 min;(6)+;
207At;85;122;b+: 90.0%;a: 10.0%;;1.81 h;9/2-;
208At;85;123;b+: 99.5%;a: 0.6%;;1.63 h;6+;
209At;85;124;b+: 96.1%;a: 3.9%;;5.42 h;9/2-;
210At;85;125;b+: 99.8%;a: 0.2%;;8.1 h;(5)+;
211At;85;126;EC: 58.2%;a: 41.8%;;7.214 h;9/2-;
212At;85;127;a;;;314 ms;(1-);
213At;85;128;a;;;125 ns;9/2-;
214At;85;129;a;;;558 ns;1-;
215At;85;130;a;;;37 μs;9/2-;
216At;85;131;a;;;300 μs;1-;
217At;85;132;a: 99.992%;b-: 0.008%;;32.6 ms;9/2-;
218At;85;133;a;;;1.28 s;(2-,3-);
219At;85;134;a: 93.6%;b-: 6.4%;;56 s;(9/2-);
220At;85;135;b-: 92.0%;a: 8.0%;;3.71 min;3(-);
221At;85;136;b-;;;2.3 min;3/2-;
222At;85;137;b-;;;54 s;;
223At;85;138;b-;;;50 s;3/2-;
224At;85;139;b-;;;2.5 min;2+;
225At;85;140;b-;;;3 s;1/2+;
226At;85;141;b-;;;7 min;2+;
227At;85;142;b-;;;5 s;1/2+;
228At;85;143;b-;;;1 min;3+;
229At;85;144;b-;;;1 s;1/2+;
193Rn;86;107;a;;;1.15 ms;(3/2-);
194Rn;86;108;a;;;780 μs;0+;
195Rn;86;109;a;;;7 ms;3/2-;
196Rn;86;110;a;;;4.7 ms;0+;
197Rn;86;111;a;;;54 ms;3/2-;
198Rn;86;112;a;;;64.4 ms;0+;
199Rn;86;113;a;;;590 ms;3/2-;
200Rn;86;114;a;;;1.09 s;0+;
201Rn;86;115;a;;;7 s;3/2-;
202Rn;86;116;a: 78.0%;b+: 22.0%;;9.7 s;0+;
203Rn;86;117;a: 66.0%;b+: 34.0%;;44.2 s;3/2-;
204Rn;86;118;a: 72.4%;b+: 27.6%;;1.242 min;0+;
205Rn;86;119;b+: 75.4%;a: 24.6%;;170 s;5/2-;
206Rn;86;120;a: 62.0%;b+: 38.0%;;5.67 min;0+;
207Rn;86;121;b+: 79.0%;a: 21.0%;;9.25 min;5/2-;
208Rn;86;122;a: 62.0%;b+: 38.0%;;24.35 min;0+;
209Rn;86;123;b+: 83.0%;a: 17.0%;;28.8 min;5/2-;
210Rn;86;124;a: 96.0%;b+: 4.0%;;2.4 h;0+;
211Rn;86;125;b+: 72.6%;a: 27.4%;;14.6 h;1/2-;
212Rn;86;126;a;;;23.9 min;0+;
213Rn;86;127;a;;;19.5 ms;9/2+;
214Rn;86;128;a;;;259 ns;0+;
215Rn;86;129;a;;;2.3 μs;9/2+;
216Rn;86;130;a;;;29 μs;0+;
217Rn;86;131;a;;;593 μs;9/2+;
218Rn;86;132;a;;;33.75 ms;0+;
219Rn;86;133;a;;;3.96 s;5/2+;
220Rn;86;134;a;;;55.6 s;0+;
221Rn;86;135;b-: 78.0%;a: 22.0%;;25.7 min;7/2+;
222Rn;86;136;a;;;3.8215 d;0+;
223Rn;86;137;b-;;;24.3 min;7/2+;
224Rn;86;138;b-;;;107 min;0+;
225Rn;86;139;b-;;;4.66 min;7/2-;
226Rn;86;140;b-;;;7.4 min;0+;
227Rn;86;141;b-;;;20.2 s;(3/2+);
228Rn;86;142;b-;;;65 s;0+;
229Rn;86;143;b-;;;11.9 s;(5/2+);
230Rn;86;144;b-;;;24 s;0+;
231Rn;86;145;b-;;;2 s;1/2+;
197Fr;87;110;a;;;2.3 ms;(7/2-);
198Fr;87;111;a;;;15 ms;3+;
199Fr;87;112;a;;;6.6 ms;1/2+;
200Fr;87;113;a;;;47.5 ms;(3+);
201Fr;87;114;a;;;62.8 ms;9/2-;
202Fr;87;115;a;;;372 ms;3+;
203Fr;87;116;a;;;550 ms;9/2-;
204Fr;87;117;a: 96.0%;b+: 4.0%;;1.75 s;3+;
205Fr;87;118;a: 98.5%;b+: 1.5%;;3.9 s;9/2-;
206Fr;87;119;a: 88.4%;b+: 11.6%;;16 s;3+;
207Fr;87;120;a: 95.0%;b+: 5.0%;;14.8 s;9/2-;
208Fr;87;121;a: 89.0%;b+: 11.0%;;59.1 s;7+;
209Fr;87;122;a: 89.0%;b+: 11.0%;;50.5 s;9/2-;
210Fr;87;123;a: 71.0%;b+: 29.0%;;3.18 min;6+;
211Fr;87;124;a: 87.0%;b+: 13.0%;;3.1 min;9/2-;
212Fr;87;125;b+: 57.0%;a: 43.0%;;20 min;5+;
213Fr;87;126;a: 99.4%;b+: 0.6%;;34.14 s;9/2-;
214Fr;87;127;a;;;5.51 ms;(1-);
215Fr;87;128;a;;;90 ns;9/2-;
216Fr;87;129;a;;;700 ns;(1-);
217Fr;87;130;a;;;22 μs;9/2-;
218Fr;87;131;a;;;1.4 ms;1-;
219Fr;87;132;a;;;22.5 ms;9/2-;
220Fr;87;133;a: 99.7%;b-: 0.3%;;27.4 s;1+;
221Fr;87;134;a: 99.995%;b: 0.005%;;4.801 min;5/2-;
222Fr;87;135;b-;;;14.2 min;2-;
223Fr;87;136;b-: 99.994%;a: 0.006%;;22 min;3/2-;
224Fr;87;137;b-;;;3.33 min;1-;
225Fr;87;138;b-;;;3.95 min;3/2-;
226Fr;87;139;b-;;;48.5 s;1-;
227Fr;87;140;b-;;;2.47 min;1/2+;
228Fr;87;141;b-;;;38 s;2-;
229Fr;87;142;b-;;;50.2 s;(1/2+);
230Fr;87;143;b-;;;19.1 s;2+;
231Fr;87;144;b-;;;17.6 s;(1/2+);
232Fr;87;145;b-;;;5.5 s;;
233Fr;87;146;b-;;;900 ms;1/2+;
201Ra;88;113;a;;;20 ms;(3/2-);
202Ra;88;114;a;;;4.1 ms;0+;
203Ra;88;115;a;;;36 ms;3/2-;
204Ra;88;116;a;;;60 ms;0+;
205Ra;88;117;a;;;220 ms;3/2-;
206Ra;88;118;a;;;0.24 s;0+;
207Ra;88;119;a: 86.0%;b+: 14.0%;;1.38 s;5/2-;
208Ra;88;120;a: 87.0%;b+: 13.0%;;1.11 s;0+;
209Ra;88;121;a;;;4.71 s;5/2-;
210Ra;88;122;a;;;4 s;0+;
211Ra;88;123;a;;;12.6 s;5/2-;
212Ra;88;124;a;;;13 s;0+;
213Ra;88;125;a: 87.0%;b+: 13.0%;;2.73 min;1/2-;
214Ra;88;126;a: 99.94;b+: 0.06%;;2.437 s;0+;
215Ra;88;127;a;;;1.669 ms;9/2+;
216Ra;88;128;a;;;172 ns;0+;
217Ra;88;129;a;;;1.95 μs;(9/2+);
218Ra;88;130;a;;;25.91 μs;0+;
219Ra;88;131;a;;;9 ms;(7/2)+;
220Ra;88;132;a;;;18.1 ms;0+;
221Ra;88;133;a;;;25 s;5/2+;
222Ra;88;134;a;;;33.6 s;0+;
223Ra;88;135;a;;;11.4352 d;3/2+;
224Ra;88;136;a;;;3.6316 d;0+;
225Ra;88;137;b-: 99.997%;a: 0.003%;;14.82 d;1/2+;
226Ra;88;138;a;;;1600 y;0+;
227Ra;88;139;b-;;;42.2 min;3/2+;
228Ra;88;140;b-;;;5.75 y;0+;
229Ra;88;141;b-;;;4 min;5/2+;
230Ra;88;142;b-;;;93 min;0+;
231Ra;88;143;b-;;;104 s;(5/2+);
232Ra;88;144;b-;;;4 min;0+;
233Ra;88;145;b-;;;30 s;1/2+;
234Ra;88;146;b-;;;30 s;0+;
203Ac;89;114;a;;;56 μs;(1/2+);
204Ac;89;115;a;;;7.4 ms;;
205Ac;89;116;a;;;7.7 ms;9/2-;
206Ac;89;117;a;;;25 ms;(3+);
207Ac;89;118;a;;;31 ms;9/2-;
208Ac;89;119;a;;;97 ms;(3+);
209Ac;89;120;a;;;94 ms;(9/2-);
210Ac;89;121;a;;;350 ms;7+;
211Ac;89;122;a;;;213 ms;9/2-;
212Ac;89;123;a;;;895 ms;7+;
213Ac;89;124;a;;;738 ms;9/2-;
214Ac;89;125;a: 93.0%;b+: 7.0%;;8.2 s;5+;
215Ac;89;126;a: 99.91%;b+: 0.09%;;171 ms;9/2-;
216Ac;89;127;a;;;440 μs;(1-);
217Ac;89;128;a;;;69 ns;9/2-;
218Ac;89;129;a;;;1 μs;(1-);
219Ac;89;130;a;;;9.4 μs;9/2-;
220Ac;89;131;a;;;26.36 ms;(3-);
221Ac;89;132;a;;;52 ms;9/2-;
222Ac;89;133;a;;;5 s;1-;
223Ac;89;134;a;;;2.1 min;(5/2-);
224Ac;89;135;b+: 90.5%;a: 9.5%;;2.78 h;(0-);
225Ac;89;136;a;;;9.919 d;3/2-;
226Ac;89;137;b-: 83.0%;EC: 17.0%;;29.37 h;(1-);
227Ac;89;138;b-: 98.6%;a: 1.4%;;21.772 y;3/2-;
228Ac;89;139;b-;;;6.15 h;3+;
229Ac;89;140;b-;;;62.7 min;3/2+;
230Ac;89;141;b-;;;122 s;(1+);
231Ac;89;142;b-;;;7.5 min;1/2+;
232Ac;89;143;b-;;;1.98 min;(1+);
233Ac;89;144;b-;;;143 s;(1/2+);
234Ac;89;145;b-;;;45 s;;
235Ac;89;146;b-;;;62 s;1/2+;
236Ac;89;147;b-;;;72 s;;
207Th;90;117;a;;;9.7 ms;;
208Th;90;118;a;;;2.4 ms;0+;
209Th;90;119;a;;;3.1 ms;13/2+;
210Th;90;120;a;;;16 ms;0+;
211Th;90;121;a;;;48 ms;5/2-;
212Th;90;122;a;;;31.7 ms;0+;
213Th;90;123;a;;;144 ms;5/2-;
214Th;90;124;a;;;87 ms;0+;
215Th;90;125;a;;;1.35 s;(1/2-);
216Th;90;126;a;;;26.28 ms;0+;
217Th;90;127;a;;;248 μs;9/2+;
218Th;90;128;a;;;122 ns;0+;
219Th;90;129;a;;;1.023 μs;9/2+;
220Th;90;130;a;;;10.2 μs;0+;
221Th;90;131;a;;;1.75 ms;7/2+;
222Th;90;132;a;;;2.24 ms;0+;
223Th;90;133;a;;;0.6 s;(5/2)+;
224Th;90;134;a;;;1.04 s;0+;
225Th;90;135;a: 90.0%;EC: 10.0%;;8.75 min;3/2+;
226Th;90;136;a;;;30.7 min;0+;
227Th;90;137;a;;;18.693 d;(1/2+);
228Th;90;138;a;;;1.9125 y;0+;
229Th;90;139;a;;;7916 y;5/2+;
230Th;90;140;a;;;7.54E+4 y;0+;
231Th;90;141;b-;;;25.52 h;5/2+;
232Th;90;142;a;;;1.4E+10 y;0+;100
233Th;90;143;b-;;;21.83 min;1/2+;
234Th;90;144;b-;;;24.107 d;0+;
235Th;90;145;b-;;;7.2 min;1/2+;
236Th;90;146;b-;;;37.3 min;0+;
237Th;90;147;b-;;;4.8 min;5/2+;
238Th;90;148;b-;;;9.4 min;0+;
210Pa;91;119;a;;;6 ms;3+;
211Pa;91;120;a;;;6 ms;9/2-;
212Pa;91;121;a;;;5.8 ms;3+;
213Pa;91;122;a;;;7.4 ms;9/2-;
214Pa;91;123;a;;;17 ms;7+;
215Pa;91;124;a;;;14 ms;9/2-;
216Pa;91;125;a;;;105 ms;5+;
